rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,match_confidence_explanation,identity_decision,identity_decision_explanation,review_evidence,merged_openalex_ids,raw_openalex_profile_count,works_count_method,exact_match_papers,initial_match_papers
2820,A5100433946,Lei Zhang,Lei Zhang,1,9,11.11,2023,2023,2.0,https://orcid.org/0000-0002-6655-2874,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100433946,1,Profile count,1,0
2821,A5100433953,Lei Zhang,Lei Zhang,1,77,1.3,2010,2010,0.0,https://orcid.org/0000-0002-7395-3780,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100433953,1,Profile count,1,0
2822,A5100433983,Lei Zhang,Lei Zhang,1,102,0.98,2023,2023,2.0,https://orcid.org/0000-0002-9078-1861,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100433983,1,Profile count,1,0
2823,A5100433985,Lei Zhang,Lei Zhang,1,146,0.68,2011,2011,0.0,https://orcid.org/0000-0002-9206-9843,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100433985,1,Profile count,1,0
2824,A5100433988,Lei Zhang,Lei Zhang,1,301,0.33,2010,2010,0.0,https://orcid.org/0000-0002-9626-4574,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100433988,1,Profile count,1,0
2825,A5100433989,Lei Zhang,Lei Zhang,1,592,0.17,2023,2023,2.0,https://orcid.org/0000-0002-9637-4845,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100433989,1,Profile count,1,0
2826,A5100433999,Lei Zhang,Lei Zhang,1,10,10.0,2023,2023,1.0,https://orcid.org/0000-0003-0219-688x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100433999,1,Profile count,1,0
2827,A5100434031,Lei Zhang,Lei Zhang,1,182,0.55,2023,2023,1.0,https://orcid.org/0000-0003-2566-6493,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100434031,1,Profile count,1,0
2828,A5100434056,Lei Zhang,Lei Zhang,1,59,1.69,2021,2021,0.0,https://orcid.org/0000-0003-4498-8236,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100434056,1,Profile count,1,0
2829,A5100602753,Lei Zhang,Lei Zhang,1,116,0.86,2010,2010,0.0,https://orcid.org/0000-0002-5705-5753,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100602753,1,Profile count,1,0
2830,A5100611808,Lei Zhang,Lei Zhang,1,32,3.12,2017,2017,1.0,https://orcid.org/0000-0001-7534-3647,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100611808,1,Profile count,1,0
2831,A5100611811,Lei Zhang,Lei Zhang,1,289,0.35,2025,2025,6.0,https://orcid.org/0000-0003-3536-8692,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100611811,1,Profile count,1,0
2832,A5100614945,Lei Zhang,Lei Zhang,1,102,0.98,2022,2022,6.0,https://orcid.org/0000-0001-5350-741x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100614945,1,Profile count,1,0
2833,A5100616189,Lei Zhang,Lei Zhang,1,150,0.67,2010,2010,0.0,https://orcid.org/0000-0002-2839-8693,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100616189,1,Profile count,1,0
2834,A5100623113,Lei Zhang,Lei Zhang,1,72,1.39,2014,2014,0.0,https://orcid.org/0000-0002-0422-6862,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100623113,1,Profile count,1,0
2835,A5100659187,Lei Zhang,Lei Zhang,1,276,0.36,2020,2020,2.0,https://orcid.org/0000-0001-5454-8758,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100659187,1,Profile count,1,0
2836,A5100659190,Lei Zhang,Lei Zhang,1,105,0.95,2024,2024,6.0,https://orcid.org/0000-0002-5768-4840,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100659190,1,Profile count,1,0
2837,A5100659191,Lei Zhang,Lei Zhang,1,94,1.06,2026,2026,6.0,https://orcid.org/0000-0002-7996-0674,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100659191,1,Profile count,1,0
2838,A5100664884,Lei Zhang,Lei Zhang,1,387,0.26,2011,2011,0.0,https://orcid.org/0000-0003-4611-3417,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100664884,1,Profile count,1,0
2839,A5100673610,Lei Zhang,Lei Zhang,1,531,0.19,2021,2021,3.0,https://orcid.org/0000-0002-7519-2858,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100673610,1,Profile count,1,0
2840,A5100673613,Lei Zhang,Lei Zhang,1,122,0.82,2025,2025,4.0,https://orcid.org/0000-0003-1416-472x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100673613,1,Profile count,1,0
2841,A5100719328,Lei Zhang,Lei Zhang,1,199,0.5,2013,2013,0.0,https://orcid.org/0000-0002-1049-4249,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100719328,1,Profile count,1,0
2842,A5100747588,Lei Zhang,Lei Zhang,1,40,2.5,2008,2008,0.0,https://orcid.org/0000-0001-6033-5740,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100747588,1,Profile count,1,0
2843,A5100751413,Lei Zhang,Lei Zhang,1,15,6.67,2011,2011,0.0,https://orcid.org/0000-0003-3173-1204,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100751413,1,Profile count,1,0
2844,A5100756547,Lei Zhang,Lei Zhang,1,86,1.16,2024,2024,2.0,https://orcid.org/0000-0001-8291-6124,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100756547,1,Profile count,1,0
2845,A5100756550,Lei Zhang,Lei Zhang,1,15,6.67,2024,2024,4.0,https://orcid.org/0000-0002-6209-7202,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100756550,1,Profile count,1,0
2846,A5100765021,Lei Zhang,Lei Zhang,1,381,0.26,2018,2018,0.0,https://orcid.org/0000-0002-5113-1786,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100765021,1,Profile count,1,0
2847,A5100767849,Lei Zhang,Lei Zhang,1,109,0.92,2026,2026,2.0,https://orcid.org/0000-0003-4921-8986,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100767849,1,Profile count,1,0
2848,A5100780612,Lei Zhang,Lei Zhang,1,11,9.09,2016,2016,1.0,https://orcid.org/0000-0002-4927-7620,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100780612,1,Profile count,1,0
2849,A5100782513,Lei Zhang,Lei Zhang,1,87,1.15,2024,2024,3.0,https://orcid.org/0000-0003-2067-8719,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100782513,1,Profile count,1,0
2850,A5101397149,Lei Zhang,Lei Zhang,1,5,20.0,2023,2023,2.0,https://orcid.org/0000-0003-3108-5783,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101397149,1,Profile count,1,0
2851,A5101499128,Lei Zhang,Lei Zhang,1,3,33.33,2021,2021,0.0,https://orcid.org/0000-0003-0713-8355,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101499128,1,Profile count,1,0
2852,A5101507888,Lei Zhang,Lei Zhang,1,25,4.0,2020,2020,3.0,https://orcid.org/0000-0002-2397-7506,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101507888,1,Profile count,1,0
2853,A5101534953,Lei Zhang,Lei Zhang,1,40,2.5,2021,2021,3.0,https://orcid.org/0000-0001-5657-3455,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101534953,1,Profile count,1,0
2854,A5101917726,Lei Zhang,Lei Zhang,1,226,0.44,2023,2023,1.0,https://orcid.org/0000-0001-8786-4562,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101917726,1,Profile count,1,0
2855,A5102023839,Lei Zhang,Lei Zhang,1,69,1.45,2024,2024,3.0,https://orcid.org/0000-0001-6578-3673,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5102023839,1,Profile count,1,0
2856,A5103111786,Lei Zhang,Lei Zhang,1,22,4.55,2015,2015,3.0,https://orcid.org/0000-0002-9594-3356,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5103111786,1,Profile count,1,0
2857,A5108049812,Lei Zhang,Lei Zhang,1,96,1.04,2022,2022,1.0,https://orcid.org/0000-0001-7453-3297,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5108049812,1,Profile count,1,0
2858,A5111763115,Lei Zhang,Lei Zhang,1,5,20.0,2025,2025,3.0,,Probable,"Probable confidence: one paper matches the full RWD name, but there is no ORCID or second paper to confirm it.",Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5111763115,1,Profile count,1,0
2859,A5115604378,Lei Zhang,Lei Zhang,1,90,1.11,2024,2024,6.0,https://orcid.org/0000-0003-1326-7874,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5115604378,1,Profile count,1,0
2860,A5100552628,Li Bo,Bo Li,1,14,7.14,2025,2025,5.0,https://orcid.org/0000-0002-5536-3904,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100552628,1,Profile count,1,0
2861,A5000044808,Li Chen,Li Chen,1,2,50.0,2023,2023,1.0,https://orcid.org/0000-0001-9289-5259,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5000044808,1,Profile count,1,0
2862,A5100379181,Li Chen,Li Chen,1,389,0.26,2020,2020,0.0,https://orcid.org/0000-0001-8492-1963,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379181,1,Profile count,1,0
2863,A5100379193,Li Chen,Li Chen,1,104,0.96,2023,2023,2.0,https://orcid.org/0000-0001-9303-4047,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379193,1,Profile count,1,0
2864,A5100379198,Li Chen,Li Chen,1,199,0.5,2025,2025,1.0,https://orcid.org/0000-0001-9556-9053,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379198,1,Profile count,1,0
2865,A5100379207,Li Chen,Li Chen,1,279,0.36,2021,2021,0.0,https://orcid.org/0000-0002-0582-1903,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379207,1,Profile count,1,0
2866,A5100379216,Li Chen,Li Chen,1,564,0.18,2020,2020,5.0,https://orcid.org/0000-0002-1754-0607,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379216,1,Profile count,1,0
2867,A5100379217,Li Chen,Li Chen,1,31,3.23,2021,2021,0.0,https://orcid.org/0000-0002-1766-5418,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379217,1,Profile count,1,0
2868,A5100379221,Li Chen,Li Chen,1,180,0.56,2020,2020,5.0,https://orcid.org/0000-0002-2300-6996,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379221,1,Profile count,1,0
2869,A5100379239,Li Chen,Li Chen,1,278,0.36,2020,2020,5.0,https://orcid.org/0000-0002-3769-1488,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379239,1,Profile count,1,0
2870,A5100379241,Li Chen,Li Chen,1,20,5.0,2022,2022,7.0,https://orcid.org/0000-0002-4049-723x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379241,1,Profile count,1,0
2871,A5100379249,Li Chen,Li Chen,1,173,0.58,2025,2025,7.0,https://orcid.org/0000-0002-4655-9024,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379249,1,Profile count,1,0
2872,A5100379250,Li Chen,Li Chen,1,258,0.39,2020,2020,4.0,https://orcid.org/0000-0002-4761-5913,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379250,1,Profile count,1,0
2873,A5100379270,Li Chen,Li Chen,1,151,0.66,2020,2020,0.0,https://orcid.org/0000-0002-6717-5708,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379270,1,Profile count,1,0
2874,A5100379272,Li Chen,Li Chen,1,302,0.33,2011,2011,0.0,https://orcid.org/0000-0002-6915-6041,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379272,1,Profile count,1,0
2875,A5100379277,Li Chen,Li Chen,1,19,5.26,2025,2025,1.0,https://orcid.org/0000-0002-7576-0528,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379277,1,Profile count,1,0
2876,A5100379278,Li Chen,Li Chen,1,35,2.86,2023,2023,1.0,https://orcid.org/0000-0002-7739-3741,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379278,1,Profile count,1,0
2877,A5100379310,Li Chen,Li Chen,1,160,0.62,2023,2023,10.0,https://orcid.org/0000-0003-0738-5161,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379310,1,Profile count,1,0
2878,A5100379331,Li Chen,Li Chen,1,328,0.3,2023,2023,1.0,https://orcid.org/0000-0003-2454-4849,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379331,1,Profile count,1,0
2879,A5100379344,Li Chen,Li Chen,1,43,2.33,2023,2023,1.0,https://orcid.org/0000-0003-3674-5824,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379344,1,Profile count,1,0
2880,A5100379347,Li Chen,Li Chen,1,26,3.85,2023,2023,2.0,https://orcid.org/0000-0003-3953-1223,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379347,1,Profile count,1,0
2881,A5100379363,Li Chen,Li Chen,1,120,0.83,2018,2018,3.0,https://orcid.org/0009-0006-6328-1155,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100379363,1,Profile count,1,0
2882,A5103110312,Li Chen,Li Chen,1,1,100.0,2023,2023,0.0,https://orcid.org/0000-0003-3871-8192,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5103110312,1,Profile count,1,0
2883,A5073535831,Li Gang,Gang Li,1,2,50.0,2023,2023,1.0,https://orcid.org/0000-0002-1758-3682,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5073535831,1,Profile count,1,0
2884,A5002622778,Li Hong,Hong Li,1,58,1.72,2023,2023,1.0,https://orcid.org/0000-0002-8815-6522,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5002622778,1,Profile count,1,0
2885,A5101998802,Li Hong,Hong Li,1,34,2.94,2023,2023,2.0,https://orcid.org/0000-0003-3460-0664,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101998802,1,Profile count,1,0
2886,A5048306079,Li Jian,Jian Li,1,2,50.0,2023,2023,2.0,https://orcid.org/0000-0001-8634-2033,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5048306079,1,Profile count,1,0
2887,A5083878190,Li Jian,Jian Li,1,127,0.79,2023,2023,1.0,https://orcid.org/0000-0001-7544-5344,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5083878190,1,Profile count,1,0
2888,A5063326830,Li Jing,Jing Li,1,2,50.0,2023,2023,1.0,https://orcid.org/0000-0001-8776-676x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5063326830,1,Profile count,1,0
2889,A5101742727,Li Juan,Juan Li,1,24,4.17,2023,2023,2.0,https://orcid.org/0000-0001-8693-1858,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5101742727,1,Profile count,1,0
2890,A5102013672,Li Jun,Jun Li,1,14,7.14,2024,2024,2.0,https://orcid.org/0000-0001-8349-5608,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5102013672,1,Profile count,1,0
2891,A5017585343,Li Lei,Lei Li,1,255,0.39,2010,2010,1.0,https://orcid.org/0000-0002-9023-8914,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5017585343,1,Profile count,1,0
2892,A5103053297,Li Lei,Lei Li,1,31,3.23,2010,2010,0.0,https://orcid.org/0000-0003-3805-7179,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5103053297,1,Profile count,1,0
2893,A5004137391,Li Li,Li Li,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0002-6175-416x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5004137391,1,Profile count,1,0
2894,A5034878136,Li Li,Li Li,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0002-8716-2269,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5034878136,1,Profile count,1,0
2895,A5041353259,Li Li,Li Li,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0003-4013-8066,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5041353259,1,Profile count,1,0
2896,A5052029275,Li Li,Li Li,1,1,100.0,2023,2023,1.0,https://orcid.org/0000-0001-6804-338x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5052029275,1,Profile count,1,0
2897,A5100360957,Li Li,Li Li,1,31,3.23,2020,2020,0.0,https://orcid.org/0000-0001-5036-0424,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100360957,1,Profile count,1,0
2898,A5100360971,Li Li,Li Li,1,209,0.48,2011,2011,0.0,https://orcid.org/0000-0001-5512-6629,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100360971,1,Profile count,1,0
2899,A5100360989,Li Li,Li Li,1,63,1.59,2022,2022,1.0,https://orcid.org/0000-0001-6149-8357,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100360989,1,Profile count,1,0
2900,A5100361004,Li Li,Li Li,1,61,1.64,2024,2024,2.0,https://orcid.org/0000-0001-6682-6401,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361004,1,Profile count,1,0
2901,A5100361020,Li Li,Li Li,1,35,2.86,2007,2007,0.0,https://orcid.org/0000-0001-7285-9357,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361020,1,Profile count,1,0
2902,A5100361027,Li Li,Li Li,1,46,2.17,2022,2022,1.0,https://orcid.org/0000-0001-7584-1654,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361027,1,Profile count,1,0
